t,speed,x_pos,y_pos,track_progress,deviation
0.000230074,0.418069041361932,-0.2047762476852778,-4.98395684946741,0.016850338640146845,0.2049398728152229
0.101026058,0.5973408720925545,-0.21399535389940838,-4.93847757069862,0.060353253216893776,0.2049398728152229
0.199552059,0.8678821407083075,-0.22540077245439158,-4.875818516293808,0.1224599325461897,0.21375835017380607
0.302914858,1.4147877538219753,-0.22610645552633785,-4.75967092339633,0.237532730601691,0.22522897195856253
0.400874853,1.7267240480249286,-0.21741014324429175,-4.623337480681832,0.3939108851575499,0.21595787610790976
0.505163908,1.9502539621525403,-0.1989719118040915,-4.440060168880612,0.5754822591441364,0.19712589129256203
0.608026982,2.0891236349715356,-0.17624302548514786,-4.268014574638222,0.756733455047085,0.17256110420940418
0.700191975,2.1690214176952693,-0.14511584358519786,-4.077106316582898,0.9228936834171018,0.14511584358519786
0.800196886,2.2296935182278554,-0.1025412825586256,-3.8634308153175163,1.1322134889984596,0.14511584358519786
0.903172016,2.26914046829751,-0.05203665212435471,-3.653363603769998,1.3510255075497533,0.050883933755678235
1.000760079,1.8675161410726302,-0.010204694335596565,-3.4989078189477896,1.568694814719291,0.050883933755678235
1.099703074,2.1995127482521823,0.0515848728313697,-3.2468409755788685,1.7531590244211315,0.050883933755678235
1.201494932,2.816005133424386,0.10354926537591447,-3.001909564045866,1.998090435954134,0.050883933755678235
1.299417019,3.445636739426624,0.16924838211894067,-2.6929593663148523,2.3036793962127047,0.050883933755678235
1.400028944,3.9742558924250115,0.2504518618578697,-2.3289832471759526,2.667138541062589,0.050883933755678235
1.499817848,4.3218957826894835,0.34107804264815633,-1.9439776326173588,3.0518212273848353,0.050883933755678235
1.599808932,4.548930479081647,0.4405078496501833,-1.542825113055811,3.448358950255634,0.050883933755678235
1.701123953,4.696017620994876,0.5430734072791099,-1.1487065212188479,3.837683306389526,0.050883933755678235
1.802952051,4.798068323279558,0.6542820923798391,-0.7407824528106186,4.231498632396224,0.050883933755678235
1.929657936,4.875350152420138,0.7587683083945644,-0.37363228234576873,4.631037093197923,0.050883933755678235
2.006042004,4.52166449498779,0.870822764332412,0.007027508031137941,5.045554236516406,0.050883933755678235
2.101290941,3.9233780799537845,0.9900724816881028,0.4070584427279229,5.5106001664108675,0.050883933755678235
2.200445891,3.328474716983896,1.088747662585258,0.7250272005686451,5.937289501656102,0.050883933755678235
2.30001688,2.938137916359598,1.1968363121412509,1.03529399063087,6.321472435472311,0.050883933755678235
2.400331021,2.6901702659958806,1.3043179577656705,1.2941238773191728,6.677295754799898,0.050883933755678235
2.499794007,2.549015982868067,1.4124752675470043,1.5116828603529608,6.9874510618002015,0.050883933755678235
2.600077868,2.1640081711815355,1.5318384375906158,1.720441120296499,7.29689760601253,0.050883933755678235
2.707893849,1.764179806467963,1.6291948158757172,1.8892220999170277,7.531194598417134,0.050883933755678235
2.802443981,1.5134894440177822,1.7061672725316668,2.02177562225471,7.750586827666453,0.050883933755678235
2.902097941,1.3481035582745358,1.7738923258376982,2.135831942331335,7.918750877497828,0.050883933755678235
3.01965189,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.099398852,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.203027964,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.303575039,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.400896073,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.500629902,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
3.602547884,1.3159232548473665,1.790451587688171,2.163173014595417,7.9652447144256575,0.050883933755678235
